Date,City,Time_Step,Temperature,Rainfall,Dengue_Cases,Temp_Scaled,Rain_Scaled,Cases_Scaled
2000-01-01,Colombo,0.0,26.6638,209.55,51,0.507538,0.228545,0.000237
2000-02-01,Colombo,1.0,26.388,5.0,54,0.447966,0.0,0.000592
2000-03-01,Colombo,2.0,28.4104,179.89,51,0.884849,0.195404,0.000237
2000-04-01,Colombo,3.0,28.3925,164.4,51,0.88098,0.178098,0.000237
2000-05-01,Colombo,4.0,25.6792,297.46,49,0.294837,0.326775,0.0
2000-06-01,Colombo,5.0,25.8183,178.36,67,0.324883,0.193696,0.002133
2000-07-01,Colombo,6.0,26.7523,173.8,67,0.526656,0.188607,0.002133
2000-08-01,Colombo,7.0,26.167,723.78,73,0.400222,0.803102,0.002844
2000-09-01,Colombo,8.0,26.2666,311.05,75,0.421729,0.341958,0.003081
2000-10-01,Colombo,9.0,25.5476,900.0,105,0.266406,1.0,0.006635
2000-11-01,Colombo,10.0,26.7235,427.23,121,0.520444,0.471769,0.008531
2000-12-01,Colombo,11.0,26.4322,265.37,141,0.457519,0.290913,0.0109
2001-01-01,Colombo,12.0,26.4728,210.87,154,0.466288,0.230028,0.012441
2001-02-01,Colombo,13.0,28.1218,126.64,174,0.822511,0.13591,0.01481
2001-03-01,Colombo,14.0,28.184,177.02,183,0.835951,0.1922,0.015877
2001-04-01,Colombo,15.0,26.9526,166.95,209,0.569925,0.180955,0.018957
2001-05-01,Colombo,16.0,27.535,307.69,215,0.695747,0.338205,0.019668
2001-06-01,Colombo,17.0,26.0929,589.77,257,0.384212,0.653373,0.024645
2001-07-01,Colombo,18.0,27.3528,279.73,277,0.656378,0.306957,0.027014
2001-08-01,Colombo,19.0,26.3801,122.95,328,0.446248,0.131783,0.033057
2001-09-01,Colombo,20.0,26.1321,327.03,414,0.392684,0.359808,0.043246
2001-10-01,Colombo,21.0,25.6853,881.37,374,0.296151,0.979186,0.038507
2001-11-01,Colombo,22.0,26.998,426.74,413,0.579747,0.471218,0.043128
2001-12-01,Colombo,23.0,25.6864,290.31,611,0.296393,0.318782,0.066588
2002-01-01,Colombo,24.0,26.0773,593.56,562,0.380851,0.657603,0.060782
2002-02-01,Colombo,25.0,26.9383,149.98,786,0.566842,0.161991,0.087322
2002-03-01,Colombo,26.0,28.2358,5.0,966,0.84715,0.0,0.108649
2002-04-01,Colombo,27.0,27.9324,185.32,944,0.781587,0.201479,0.106043
2002-05-01,Colombo,28.0,27.5702,208.61,969,0.703348,0.227497,0.109005
2002-06-01,Colombo,29.0,27.2047,221.13,863,0.624384,0.241483,0.096446
2002-07-01,Colombo,30.0,28.3633,321.46,1159,0.874687,0.353585,0.131517
2002-08-01,Colombo,31.0,26.0949,268.21,5985,0.384638,0.294092,0.703318
2002-09-01,Colombo,32.0,25.8702,208.53,5665,0.336105,0.227403,0.665403
2002-10-01,Colombo,33.0,25.579,275.21,1556,0.273193,0.301914,0.178554
2002-11-01,Colombo,34.0,26.5128,335.66,1279,0.47492,0.369455,0.145735
2002-12-01,Colombo,35.0,26.7132,132.92,1305,0.518211,0.142922,0.148815
2003-01-01,Colombo,36.0,26.3288,17.67,1353,0.435183,0.014155,0.154502
2003-02-01,Colombo,37.0,26.5479,116.48,1587,0.4825,0.12456,0.182228
2003-03-01,Colombo,38.0,27.1504,203.2,1611,0.612666,0.221458,0.185071
2003-04-01,Colombo,39.0,28.1605,239.38,1650,0.830867,0.261878,0.189692
2003-05-01,Colombo,40.0,27.8346,119.07,1593,0.76047,0.127449,0.182938
2003-06-01,Colombo,41.0,27.2945,286.94,1556,0.643797,0.315016,0.178554
2003-07-01,Colombo,42.0,26.1176,206.32,1780,0.389547,0.224942,0.205095
2003-08-01,Colombo,43.0,26.6057,250.32,1579,0.494998,0.274102,0.18128
2003-09-01,Colombo,44.0,26.3733,393.74,1546,0.444798,0.434343,0.17737
2003-10-01,Colombo,45.0,26.405,191.25,1940,0.451625,0.208102,0.224052
2003-11-01,Colombo,46.0,26.7171,285.75,1810,0.519067,0.313689,0.208649
2003-12-01,Colombo,47.0,25.9889,277.51,1841,0.361741,0.304483,0.212322
2004-01-01,Colombo,48.0,26.9631,5.0,1876,0.572207,0.0,0.216469
2004-02-01,Colombo,49.0,27.2741,209.6,1683,0.639377,0.228599,0.193602
2004-03-01,Colombo,50.0,28.0413,140.25,1632,0.805121,0.151116,0.187559
2004-04-01,Colombo,51.0,28.145,258.41,1770,0.827531,0.283136,0.20391
2004-05-01,Colombo,52.0,26.0743,256.69,1564,0.38019,0.281223,0.179502
2004-06-01,Colombo,53.0,26.6043,327.69,1676,0.494682,0.360549,0.192772
2004-07-01,Colombo,54.0,26.2737,286.04,1610,0.423272,0.314009,0.184953
2004-08-01,Colombo,55.0,25.9089,235.84,1463,0.344464,0.257922,0.167536
2004-09-01,Colombo,56.0,26.0599,283.19,1722,0.377082,0.310829,0.198223
2004-10-01,Colombo,57.0,27.426,867.76,1418,0.67219,0.963974,0.162204
2004-11-01,Colombo,58.0,25.3273,263.97,1642,0.21883,0.289355,0.188744
2004-12-01,Colombo,59.0,26.5846,218.44,1710,0.490439,0.238478,0.196801
2005-01-01,Colombo,60.0,25.0737,59.16,1824,0.164039,0.060512,0.210308
2005-02-01,Colombo,61.0,26.9521,122.19,1458,0.569822,0.13094,0.166943
2005-03-01,Colombo,62.0,27.9402,190.77,1464,0.783282,0.20756,0.167654
2005-04-01,Colombo,63.0,28.109,106.0,1469,0.819742,0.112846,0.168246
2005-05-01,Colombo,64.0,27.809,292.37,1459,0.754934,0.321083,0.167062
2005-06-01,Colombo,65.0,27.4947,381.11,1494,0.687036,0.420231,0.171209
2005-07-01,Colombo,66.0,26.371,141.07,1424,0.444295,0.152037,0.162915
2005-08-01,Colombo,67.0,26.0501,151.43,1379,0.374972,0.163609,0.157583
2005-09-01,Colombo,68.0,26.9664,280.62,1440,0.57291,0.30796,0.16481
2005-10-01,Colombo,69.0,26.077,423.86,1512,0.380769,0.468001,0.173341
2005-11-01,Colombo,70.0,24.9994,333.95,1148,0.147998,0.367546,0.130213
2005-12-01,Colombo,71.0,24.9034,336.56,1295,0.127242,0.370455,0.14763
2006-01-01,Colombo,72.0,25.6844,139.9,1372,0.295974,0.15073,0.156754
2006-02-01,Colombo,73.0,27.6177,158.87,1297,0.713619,0.171917,0.147867
2006-03-01,Colombo,74.0,27.9239,155.11,1399,0.779769,0.16772,0.159953
2006-04-01,Colombo,75.0,28.1924,376.89,1195,0.837761,0.415522,0.135782
2006-05-01,Colombo,76.0,26.8982,285.96,1115,0.55818,0.313918,0.126303
2006-06-01,Colombo,77.0,26.9868,102.31,1312,0.577327,0.108724,0.149645
2006-07-01,Colombo,78.0,27.1505,328.9,944,0.612678,0.3619,0.106043
2006-08-01,Colombo,79.0,26.1725,180.59,1141,0.401414,0.196194,0.129384
2006-09-01,Colombo,80.0,26.6454,273.07,1411,0.503573,0.29952,0.161374
2006-10-01,Colombo,81.0,25.7005,461.07,1169,0.299435,0.50958,0.132701
2006-11-01,Colombo,82.0,25.7296,204.86,1210,0.305721,0.223306,0.137559
